Duration(s),ElapsedTime(s),TotalPopulation,TotalInfected,Area(m²),Density(p/m²),TotalParticles,MaximumProbableContacts,CalculateDecay,CharacteristicTime(s),MotionRadius,Atleast1pWake,Atleast1pCircular,ParticlesWakeMax,ParticlesWakeMean,ParticlesWakeMin,ParticlesWakeMedian,ParticlesWakeMode,ParticlesWakeVariance,ParticlesWakeSkewness,ParticlesWakeKurtosis,ParticlesCircularMax,ParticlesCircularMean,ParticlesCircularMin,ParticlesCircularMedian,ParticlesCircularMode,ParticlesCircularVariance,ParticlesCircularSkewness,ParticlesCircularKurtosis,MaxPDFPathogensWake,MaxPDFPathogensCircular,ParticlesWakeNZeroMax,ParticlesWakeNZeroMean,ParticlesWakeNZeroMin,ParticlesWakeNZeroMedian,ParticlesWakeNZeroMode,ParticlesWakeNZeroVariance,ParticlesWakeNZeroSkewness,ParticlesWakeNZeroKurtosis,ParticlesCircularNZeroMax,ParticlesCircularNZeroMean,ParticlesCircularNZeroMin,ParticlesCircularNZeroMedian,ParticlesCircularNZeroMode,ParticlesCircularNZeroVariance,ParticlesCircularNZeroSkewness,ParticlesCircularNZeroKurtosis,MaxPDFPathogensWakeNZero,MaxPDFPathogensCircularNZero,p_DummyCheckRandomness,Title
1200,57046.68,1000,1,2123,0.471,120000,1.16E+08,FALSE,100,12.5,999,216,162637,44811.41041,1624,39274,23363,8.37E+08,0.837601229,0.353339764,195659,7542.254254,0,0,0,4.61E+08,4.36182205,24.15348569,0.275275275,0.931931932,162637,44811.41041,1624,39274,23363,8.37E+08,0.837601229,0.353339764,195659,34882.92593,77,25198,14388,1.18E+09,2.087023967,5.46329937,0.275275275,0.444444444,2,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#2
1200,59938.597,1000,1,2123,0.471,120000,1.16E+08,FALSE,100,12.5,999,243,104065,44763.72973,4713,42805,70918,3.92E+08,0.385428802,-0.170981553,851182,8998.51952,0,0,0,1.25E+09,15.04284852,330.7892187,0.314314314,0.990990991,104065,44763.72973,4713,42805,70918,3.92E+08,0.385428802,-0.170981553,851182,36993.91358,290,22783,34279,4.10E+09,9.065448036,109.2669173,0.314314314,0.930041152,1,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#1
1200,39268.382,1000,1,2123,0.471,120000,1.16E+08,FALSE,100,12.5,999,241,89172,42846.89389,13969,42115,46209,1.47E+08,0.432050521,0.363233313,416882,9754.085085,0,0,0,9.10E+08,6.020399305,52.44244277,0.388388388,0.936936937,89172,42846.89389,13969,42115,46209,1.47E+08,0.432050521,0.363233313,416882,40432.90871,322,25813,36263,2.54E+09,3.360562564,16.41832977,0.388388388,0.858921162,0,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#0
1200,49628.38,1000,1,2123,0.471,120000,1.16E+08,FALSE,100,12.5,999,238,94150,42937.32232,9019,42614,38338,2.49E+08,0.295219258,-0.363833124,349706,8808.531532,0,0,0,7.48E+08,5.950172241,50.36375003,0.217217217,0.935935936,94150,42937.32232,9019,42614,38338,2.49E+08,0.295219258,-0.363833124,349706,36973.62605,324,20192,41495,2.10E+09,3.275959759,15.26458367,0.217217217,0.550420168,3,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
1200,49755.828,1000,1,2123,0.471,120000,1.16E+08,FALSE,100,12.5,999,229,111512,44161.35636,5165,41959,32331,3.97E+08,0.672356194,0.279499175,311666,9441.033033,0,0,0,7.17E+08,4.742080219,30.95175576,0.305305305,0.951951952,111512,44161.35636,5165,41959,32331,3.97E+08,0.672356194,0.279499175,311666,41185.99127,172,29696,17278,1.82E+09,2.518545771,9.035740573,0.305305305,0.703056769,4,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#4
1200,51011.966,1000,1,2123,0.471,119500,1.16E+08,FALSE,100,12.5,999,218,142136,40704.44945,459,35232,20167,6.61E+08,0.816125904,0.240529054,228257,7738.832833,0,0,0,4.88E+08,4.506232026,26.71686742,0.331331331,0.924924925,142136,40704.44945,459,35232,20167,6.61E+08,0.816125904,0.240529054,228257,35463.73394,75,26712.5,34039,1.25E+09,2.238767525,6.741066643,0.331331331,0.412844037,6,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#6
1200,51906.14,1000,1,2123,0.471,120000,1.16E+08,FALSE,100,12.5,999,237,133191,43264.3003,1731,38235,38486,6.19E+08,0.835760071,0.356849052,256121,9083.770771,0,0,0,6.38E+08,5.015166714,35.00736128,0.416416416,0.934934935,133191,43264.3003,1731,38235,38486,6.19E+08,0.835760071,0.356849052,256121,38289.81857,226,26568,33143,1.57E+09,2.914012049,11.5038702,0.416416416,0.641350211,8,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#8
1200,52115.377,1000,1,2123,0.471,120000,1.16E+08,FALSE,100,12.5,999,244,89379,42933.03704,12803,42479,20355,1.46E+08,0.209890403,-0.123625343,339069,9104.804805,0,0,0,6.96E+08,5.380231653,42.9066261,0.327327327,0.913913914,89379,42933.03704,12803,42479,20355,1.46E+08,0.209890403,-0.123625343,339069,37277.45902,71,24381,35639,1.81E+09,3.055950611,14.39383136,0.327327327,0.827868852,7,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#7
1200,52337.587,1000,1,2123,0.471,120000,1.16E+08,FALSE,100,12.5,999,226,118251,43341.18719,4939,41596,51676,3.94E+08,0.576235491,0.160370636,296596,8195.054054,0,0,0,5.89E+08,5.337701111,39.91723889,0.371371371,0.921921922,118251,43341.18719,4939,41596,51676,3.94E+08,0.576235491,0.160370636,296596,36225.03982,87,25272,8316,1.59E+09,2.914099956,11.91023533,0.371371371,0.716814159,5,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#5
1200,60774.503,1000,1,2123,0.471,120000,1.16E+08,FALSE,100,12.5,999,236,122113,41162.32933,1410,38681,12625,5.44E+08,0.549554299,-0.209016491,241253,8527.477477,0,0,0,5.43E+08,4.470889953,27.00976928,0.222222222,0.930930931,122113,41162.32933,1410,38681,12625,5.44E+08,0.549554299,-0.209016491,241253,36097.24576,311,24869,17061,1.31E+09,2.404064179,7.999643446,0.222222222,0.478813559,10,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#10
1200,64741.044,1000,1,2123,0.471,120000,1.16E+08,FALSE,100,12.5,999,230,112258,43827.54454,9772,40700,39109,3.68E+08,0.655059309,0.013253994,267370,9021.437437,0,0,0,8.00E+08,5.458854657,36.27733323,0.269269269,0.931931932,112258,43827.54454,9772,40700,39109,3.68E+08,0.655059309,0.013253994,267370,39184.41739,528,25408,65679,2.30E+09,2.780839619,8.377846854,0.269269269,0.408695652,9,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#9
